2025-01-29 10:49:39,769 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-30 16:36:07,300 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 16:46:47,869 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 16:46:50,428 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 16:46:54,945 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 16:52:39,880 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 16:52:46,601 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 16:52:51,332 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 16:56:42,965 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-30 16:56:43,968 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 16:56:49,044 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 16:56:53,596 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 17:01:42,586 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-30 17:01:43,591 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 17:01:45,092 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 17:01:53,887 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 17:04:28,625 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 17:04:32,743 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 17:04:37,308 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 17:08:33,283 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 17:26:36,772 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 17:26:41,653 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-01-30 17:26:44,886 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-30 17:26:48,999 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-30 17:26:55,606 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-30 17:28:47,716 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-01-30 17:28:54,794 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-01-30 17:28:59,355 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
