2025-04-24 13:21:25,663 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=3, releaselevel='final', serial=0)
2025-04-24 13:21:25,663 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-11-10.0.26100-SP0
2025-04-24 13:21:25,664 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:21:30,165 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:24:02,889 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:24:04,589 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:24:06,435 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:24:10,724 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:29:34,759 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:29:35,971 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:29:36,747 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:29:41,311 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:30:57,009 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:31:07,767 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:31:14,613 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:31:17,763 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:31:22,157 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:31:56,852 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:32:34,611 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:32:38,612 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:33:21,393 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:33:24,624 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:33:28,967 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:35:40,535 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:35:48,992 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:35:51,458 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:35:53,736 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:35:55,336 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:36:02,102 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:37:42,154 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:38:51,946 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:38:55,984 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:40:41,016 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:40:44,162 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:40:48,784 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:41:20,875 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-24 13:41:34,236 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:41:34,961 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:41:39,516 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:42:25,836 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:42:58,655 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:43:02,691 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-04-24 13:43:48,697 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-04-24 13:45:45,356 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-04-24 13:45:57,581 | MainThread   | [ERROR   ] | _connect            |: 
2025-04-24 13:45:58,583 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2025-04-24 13:45:58,584 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
